iter	Logloss
0	0.6715489924
1	0.6552439858
2	0.6205874865
3	0.6074019868
4	0.5979230943
5	0.5912921461
6	0.5850380367
7	0.5731628978
8	0.5520359282
9	0.5470996114
10	0.5377438813
11	0.531076868
12	0.525219812
13	0.5110748271
14	0.5088337521
15	0.5023788674
16	0.498653421
17	0.4945282402
18	0.4928442552
19	0.4894165497
20	0.4857100926
21	0.4847696122
22	0.4839840681
23	0.4825307541
24	0.4777286097
25	0.4765850521
26	0.4738237844
27	0.4733357569
28	0.46972179
29	0.4690971102
30	0.4686571122
31	0.4681297508
32	0.4634762649
33	0.4620169083
34	0.4605617395
35	0.4597444881
36	0.4593948764
37	0.4581103729
38	0.4576966692
39	0.4573589276
40	0.4563483436
41	0.4558594296
42	0.4535989901
43	0.4531488222
44	0.4527567084
45	0.4523115805
46	0.4515899892
47	0.4505107812
48	0.4500412697
49	0.449602879
50	0.449210349
51	0.4487881369
52	0.4484036814
53	0.4481524888
54	0.4477700894
55	0.4473594851
56	0.4470744914
57	0.4459480181
58	0.4449497048
59	0.4438776827
60	0.4430680178
61	0.4426063564
62	0.4405299707
63	0.4401369534
64	0.4386006532
65	0.4383031582
66	0.4380692719
67	0.4365887996
68	0.4362556139
69	0.4360087003
70	0.4350858804
71	0.4345470217
72	0.4343228706
73	0.4325263147
74	0.43181025
75	0.4312718383
76	0.4296545691
77	0.4294074799
78	0.4289935287
79	0.4287267919
80	0.4284406055
81	0.4281617325
82	0.4278845681
83	0.4275997083
84	0.4273398084
85	0.4271042652
86	0.4268821275
87	0.4266265151
88	0.4264246539
89	0.4261653388
90	0.4251757444
91	0.4249827312
92	0.4247664071
93	0.4245520809
94	0.4243171109
95	0.4241252618
96	0.4238034172
97	0.4235324269
98	0.4232963453
99	0.4217777984
100	0.4215128298
101	0.4211872492
102	0.420987143
103	0.4206980529
104	0.4204390982
105	0.4202369516
106	0.4200314703
107	0.4198790008
108	0.4193287956
109	0.4191718158
110	0.4188999863
111	0.4186856331
112	0.4183996911
113	0.418235442
114	0.4180321776
115	0.4178734636
116	0.4177519873
117	0.4175570744
118	0.4174490833
119	0.4171562858
120	0.4170030435
121	0.4168132551
122	0.416158671
123	0.4159960184
124	0.4158141776
125	0.4144672713
126	0.4140292887
127	0.413778245
128	0.4135610264
129	0.413295741
130	0.4130785866
131	0.4128958976
132	0.4125708979
133	0.4117311528
134	0.4115891796
135	0.4114393655
136	0.4110071307
137	0.4108587654
138	0.4106448782
139	0.4104193305
140	0.4102617377
141	0.410029874
142	0.4098550222
143	0.4096989141
144	0.4095061724
145	0.4093235248
146	0.4091498599
147	0.4089943273
148	0.4085336398
149	0.4083416445
150	0.4082504808
151	0.4080970011
152	0.4078405108
153	0.4077406979
154	0.4075993207
155	0.406518582
156	0.4063291934
157	0.406151673
158	0.4059933334
159	0.4058553325
160	0.4057186898
161	0.4055077249
162	0.405357642
163	0.4052193638
164	0.4050097927
165	0.4048676266
166	0.4047227547
167	0.4043514712
168	0.4041812464
169	0.4039928455
170	0.4038290493
171	0.4035065371
172	0.4033328084
173	0.4031568283
174	0.4030582151
175	0.4029389631
176	0.4028480291
177	0.4027256448
178	0.4025946189
179	0.40246527
180	0.4024066481
181	0.4022381784
182	0.4020738871
183	0.4019199692
184	0.4017860268
185	0.4016389095
186	0.4014870054
187	0.4011647736
188	0.4010134481
189	0.4009242448
190	0.4007935527
191	0.4002102732
192	0.4001224912
193	0.3999565199
194	0.3997862971
195	0.3996026853
196	0.3994568373
197	0.3993193767
198	0.3986250813
199	0.3985050078
200	0.3983713571
201	0.3982305975
202	0.3980239765
203	0.3978934596
204	0.3977840399
205	0.3976428278
206	0.3974915193
207	0.3973376346
208	0.3972124753
209	0.3970751385
210	0.3968805853
211	0.396753657
212	0.3966280468
213	0.3964899283
214	0.3963169595
215	0.3961566375
216	0.3960301918
217	0.3958894276
218	0.3957164975
219	0.3955896238
220	0.3954448811
221	0.3953256561
222	0.3952163477
223	0.3950622991
224	0.3949352637
225	0.3947617755
226	0.3945992269
227	0.3944897391
228	0.394333906
229	0.3942072434
230	0.3940835418
231	0.3939792465
232	0.3938153284
233	0.3936903551
234	0.3935930746
235	0.3933906441
236	0.3932578098
237	0.3931335242
238	0.3929564907
239	0.3928187779
240	0.3926858183
241	0.3925519901
242	0.3925019502
243	0.3921118645
244	0.391949392
245	0.3918246891
246	0.3917224494
247	0.3915893436
248	0.3914439469
249	0.3912416757
250	0.3910981745
251	0.3909579335
252	0.3908660107
253	0.389829265
254	0.3895340616
255	0.389425845
256	0.3891426934
257	0.3889707251
258	0.3886668449
259	0.3885585727
260	0.3884514514
261	0.3883418003
262	0.3882681138
263	0.3881253997
264	0.3879829531
265	0.3878864148
266	0.3877552648
267	0.3876356901
268	0.387521151
269	0.3869849693
270	0.3868653332
271	0.3864238146
272	0.3862783889
273	0.3861276705
274	0.3859609504
275	0.3859567488
276	0.3858406839
277	0.3856761857
278	0.385598566
279	0.3854933707
280	0.3853415412
281	0.3851996253
282	0.3850542294
283	0.3850502385
284	0.384987584
285	0.3849035601
286	0.3847880321
287	0.3845783604
288	0.3844366912
289	0.3843094238
290	0.384203402
291	0.3841094329
292	0.3839904558
293	0.3838713356
294	0.3837949995
295	0.383698349
296	0.3835800101
297	0.3834967353
298	0.3833780599
299	0.3832877161
300	0.3830494119
301	0.3829309121
302	0.3828520165
303	0.3828477935
304	0.3827172356
305	0.3826300636
306	0.3824632209
307	0.3824526329
308	0.3823506577
309	0.3822062894
310	0.382083256
311	0.3819841648
312	0.38160477
313	0.3815073719
314	0.381414273
315	0.3813224035
316	0.3812170214
317	0.3810750354
318	0.3810085761
319	0.3808817395
320	0.3808263308
321	0.3806563655
322	0.3806506517
323	0.3805052948
324	0.380390736
325	0.3802213879
326	0.3800989649
327	0.380006984
328	0.3799021716
329	0.3797865762
330	0.3796655633
331	0.3795611504
332	0.379438341
333	0.3793315712
334	0.3792096313
335	0.3791219058
336	0.3787175498
337	0.3786192793
338	0.378525015
339	0.378386436
340	0.3782964875
341	0.3782019861
342	0.3781409537
343	0.3780140854
344	0.3779045148
345	0.3777986547
346	0.3776934965
347	0.3776347126
348	0.3774994588
349	0.3773947353
350	0.3773034657
351	0.3769906133
352	0.3769075633
353	0.3767640427
354	0.3766698357
355	0.3765203782
356	0.3764520192
357	0.3763532443
358	0.3762504132
359	0.3761262502
360	0.3759886612
361	0.3758852608
362	0.3757808092
363	0.3756874933
364	0.3755574675
365	0.3754716193
366	0.3753958692
367	0.3752999172
368	0.3752128581
369	0.3750632315
370	0.374962741
371	0.3748135805
372	0.3746848859
373	0.3745852799
374	0.3744500919
375	0.3743461852
376	0.374255237
377	0.3737284259
378	0.3735955726
379	0.3734908936
380	0.3733895627
381	0.3732531854
382	0.3731604798
383	0.3730306872
384	0.3729034616
385	0.3727937707
386	0.3726588344
387	0.3725706955
388	0.3724001164
389	0.3723158833
390	0.3722314321
391	0.3721448587
392	0.3719852537
