Feature,mean|shap value|
eqpdays,0.3248111
mou,0.23281872
changem,0.19975115
months,0.18173958
overage,0.10296749
recchrge,0.09045717
uniqsubs,0.08570742
age1,0.07955615
creditaa,0.066921264
dropvce,0.06032786
incalls,0.05512122
refurb,0.046697762
revenue,0.046431817
retcalls,0.043804023
mailres,0.042007845
dropblk,0.04031763
changer,0.03906449
custcare,0.03848517
mourec,0.03697538
phones,0.034376513
peakvce,0.032639027
opeakvce,0.03197318
webcap,0.029684717
unansvce,0.028920792
setprc,0.025072595
blckvce,0.024189828
age2,0.02414108
actvsubs,0.024113776
roam,0.022742214
outcalls,0.022137998
credita,0.021699006
children,0.02144207
threeway,0.019589528
marryun,0.015227586
prizmtwn,0.013151365
income,0.0118305115
callwait,0.01107255
directas,0.010697991
truck,0.009564381
newcelln,0.008686841
pcown,0.007885864
marryyes,0.007491097
incmiss,0.006314715
models,0.006187332
prizmub,0.0059405304
prizmrur,0.0039795325
occprof,0.0036160704
mailord,0.0031327286
refer,0.002712008
ownrent,0.0025853063
retaccpt,0.002291159
occcler,0.0020480321
creditcd,0.0018682831
mcycle,0.0017796174
newcelly,0.0016058622
setprcm,0.0012773076
occcrft,0.0012693708
occret,0.0011434517
travel,0.0007179107
rv,0.0006642144
mailflag,0.00064243295
callfwdv,0.00042750512
occself,0.0002288148
occhmkr,0.00020532744
occstud,5.2511856e-05
retcall,0.0
